feature_id,name,category,t_stat,p_value,ic,icir,hit_rate,sharpe,stability,nonlinear_r2,passed
vol_ratio_5_50,量比(5/50),F,-4.208,0.0,-0.2336,-1.309,0.4328,-1.242,2.0046,0.0224,True
vol_change_20d,20日波动率变化,B,-4.048,0.0001,-0.2224,-1.966,0.4239,-1.698,0.5733,0.0082,True
ma_dist_50_100,MA50/100距离,D,-3.908,0.0001,-0.2212,-0.762,0.4527,-1.257,3.1998,0.0,True
body_ratio_20d,实体比 20日,M,-3.8,0.0002,-0.2142,-2.25,0.4358,-1.767,0.9963,0.0012,True
vol_ratio_5_20,量比(5/20),F,-3.662,0.0003,-0.1634,-1.015,0.4537,-1.249,1.3441,0.0016,True
ma_dist_20_100,MA20/100距离,D,-3.618,0.0003,-0.2027,-1.192,0.4155,-1.28,1.3854,0.0032,True
vol_ratio_10_50,量比(10/50),F,-3.383,0.0008,-0.2843,-1.475,0.4239,-1.763,2.2965,0.0598,True
vol_trend_20d,20日成交量趋势,F,-3.351,0.0009,-0.1876,-1.041,0.4328,-1.457,1.4779,0.0001,True
squeeze_{w}d,Squeeze 20日,M,-3.348,0.0009,-0.1542,-0.697,0.4597,-1.438,1.3985,0.0008,True
vol_trend_50d,50日成交量趋势,F,-3.335,0.0009,-0.2202,-1.163,0.4328,-1.722,2.3902,0.0309,True
squeeze_{w}d,Squeeze 10日,M,-3.239,0.0013,-0.1503,-0.678,0.4448,-1.562,1.4083,0.0009,True
fractal_eff_20d,分形效率 20日,L,-3.231,0.0014,-0.1334,-0.874,0.4567,-1.098,1.0605,0.0002,True
vol_90d,90日波动率,B,3.159,0.0017,0.1625,0.81,0.6066,1.045,2.8688,0.068,True
vol_trend_10d,10日成交量趋势,F,-3.024,0.0027,-0.1161,-1.206,0.4716,-0.717,0.8862,0.0203,True
mom_accel_20d_100d,20日-100日动量差,A,2.954,0.0034,0.1655,0.598,0.5552,1.111,3.0133,0.0089,True
obv_price_confirm_{w}d,OBV-价格确认 5日,K,2.934,0.0036,0.1387,2.075,0.5254,1.149,0.6138,0.0099,True
autocorr_3d,自相关 lag3,L,-2.904,0.0039,-0.1876,-0.585,0.4239,-1.078,3.3576,0.0336,True
vol_trend_price_{w}d,量趋势×价格 20日,K,-2.855,0.0046,-0.1523,-0.723,0.4328,-0.771,1.4117,0.0001,True
ma_slope_100,MA100斜率,D,-2.825,0.0051,-0.2139,-0.749,0.4502,-1.067,2.8422,0.0027,True
skew_120d,120日偏度,C,2.745,0.0064,0.1669,0.72,0.6087,1.038,1.866,0.0002,True
vol_change_10d,10日波动率变化,B,-2.689,0.0075,-0.2104,-1.02,0.4,-1.479,1.9238,0.0125,True
fractal_eff_10d,分形效率 10日,L,-2.534,0.0117,-0.1163,-0.697,0.4836,-0.94,1.2716,0.0025,True
vol_60d,60日波动率,B,2.459,0.0144,0.135,0.445,0.5761,0.853,2.9518,0.0001,True
