feature_id,name,category,ic,icir,t_stat,p_value,fdr_p,hit_rate,sharpe,stability,nonlinear_r2,n_obs,passed
hurst_120d,Hurst 120日,L,-0.0624,-31.244,-1.76,0.0791,0.3344,0.4775,-0.484,0.002,0.0016,400,False
mom_rank_100d,动量排名 100日分位,S,-0.4766,-4.766,-5.767,0.0,0.0,0.3366,-3.35,0.1,0.0041,101,True
vol_ratio_10_50,量比(10/50),F,-0.2737,-3.05,-3.603,0.0004,0.0101,0.4149,-1.756,0.0897,0.0548,376,True
vol_ratio_5_50,量比(5/50),F,-0.2293,-2.722,-4.356,0.0,0.0,0.4309,-1.447,0.0842,0.0227,376,True
vol_change_10d,10日波动率变化,B,-0.2134,-1.844,-2.921,0.0037,0.0543,0.399,-1.502,0.1157,0.0118,381,True
ma_dist_20_60,MA20/60距离,D,-0.0915,-1.772,-1.447,0.1487,0.4998,0.4933,-0.934,0.0517,0.0028,371,False
body_ratio_20d,实体比20日,M,-0.2068,-1.675,-4.087,0.0001,0.0047,0.4425,-1.677,0.1234,0.0012,391,True
vol_trend_10d,10日量趋势,F,-0.1201,-1.553,-3.187,0.0016,0.0319,0.4425,-0.819,0.0773,0.016,400,True
obv_accel_10d,OBV加速度 10日,Q,-0.1325,-1.54,-2.113,0.0353,0.201,0.4395,-0.679,0.086,0.0012,380,False
tail_events_60d_3s,60日3σ尾部,C,-0.1563,-1.475,-2.64,0.0086,0.0827,0.4075,-1.63,0.1059,0.0853,400,True
vol_trend_20d,20日量趋势,F,-0.1548,-1.433,-3.259,0.0012,0.0258,0.4525,-1.292,0.108,0.0018,400,True
vol_trend_50d,50日量趋势,F,-0.1981,-1.425,-3.515,0.0005,0.0116,0.4375,-1.62,0.139,0.0168,400,True
vol_ratio_5_20,量比(5/20),F,-0.1511,-1.362,-3.757,0.0002,0.007,0.4578,-1.224,0.1109,0.0003,391,True
rsi21_vol_ratio,RSI21×量比,K,-0.2121,-1.33,-3.776,0.0002,0.008,0.4041,-1.676,0.1594,0.0001,391,True
skew_60d,60日偏度,C,0.1094,1.231,2.166,0.031,0.1922,0.4927,0.297,0.0889,0.002,341,False
vol_concentration_10d,量集中度 10日,R,-0.0686,-1.12,-1.643,0.1011,0.3918,0.4575,-0.299,0.0613,0.0108,400,False
autocorr_20d,自相关lag20,L,-0.1467,-1.084,-3.001,0.0029,0.0506,0.4501,-0.766,0.1353,0.0089,371,True
skew_20d,20日偏度,C,0.1244,1.072,2.102,0.0362,0.202,0.5407,0.828,0.1161,0.0308,381,False
tail_events_20d_3s,20日3σ尾部,C,-0.1217,-1.048,-1.406,0.1604,0.5144,0.46,-0.875,0.1162,0.0,400,False
vol_change_20d,20日波动率变化,B,-0.205,-1.018,-4.208,0.0,0.0,0.4232,-1.566,0.2015,0.0051,371,True
body_ratio_5d,实体比5日,M,-0.0869,-1.013,-1.204,0.2292,0.5976,0.4461,-0.634,0.0858,0.0151,399,False
ema_dist_100,EMA100距离,D,-0.0613,-0.985,-0.768,0.4432,0.7633,0.4815,-0.117,0.0622,0.0012,351,False
path_smoothness_20d,路径平滑度 20日,S,-0.1696,-0.984,-3.857,0.0001,0.007,0.4476,-1.19,0.1723,0.0042,391,True
autocorr_1d,自相关lag1,L,-0.1004,-0.968,-2.039,0.0422,0.218,0.4447,-0.53,0.1037,0.0001,371,False
obv_mom_10d,OBV动量10日,F,-0.1818,-0.931,-2.808,0.0052,0.0659,0.4667,-1.619,0.1954,0.0114,390,True
obv_roc_10d,OBV ROC 10日,Q,-0.1818,-0.931,-2.808,0.0052,0.0631,0.4667,-1.619,0.1954,0.0114,390,True
vol_concentration_20d,量集中度 20日,R,-0.1192,-0.835,-2.617,0.0092,0.0856,0.445,-0.517,0.1428,0.015,400,True
body_ratio_10d,实体比10日,M,-0.1266,-0.822,-2.259,0.0244,0.1583,0.4116,-0.919,0.1541,0.0072,396,False
vol_price_div_10d,10日量价背离,F,0.093,0.807,2.301,0.0219,0.1528,0.5225,0.654,0.1152,0.0048,400,False
sharpe_60d,60日滚动Sharpe,A,-0.0728,-0.796,-0.854,0.3937,0.7226,0.4555,-0.12,0.0915,0.0042,371,False
obv_ma_cross_5_20,OBV MA5/20交叉,Q,-0.1769,-0.791,-3.661,0.0003,0.0084,0.4399,-1.702,0.2236,0.0205,391,True
ret_dispersion_20d,收益离散度 20日,S,0.123,0.766,2.329,0.0204,0.1459,0.509,1.182,0.1607,0.0006,391,False
ma_slope_100,MA100斜率,D,-0.1569,-0.715,-1.606,0.1092,0.4174,0.4624,-0.436,0.2195,0.002,346,False
rsi14_vol_ratio,RSI14×量比,K,-0.1415,-0.704,-2.343,0.0196,0.1439,0.4476,-0.513,0.2009,0.0001,391,False
